acc,gc,gc3,TAA_1_a3,TAA_1_a6,TAA_1_t3,TAA_1_t6,TAG_1_a3,TAG_1_a6,TAG_1_t3,TAG_1_t6
CP002271,0.6786791120499109,0.8701325738837473,0.2,0.0,0.8,1.0,0.11320754716981132,0.1509433962264151,0.8867924528301887,0.8490566037735849
CP002444,0.5235249453193764,0.639393778613225,0.6535433070866141,0.4015748031496063,0.3464566929133858,0.5984251968503937,0.23275862068965517,0.10775862068965517,0.7672413793103449,0.8922413793103449
CP002563,0.35998655170719857,0.25742434580434426,0.09808102345415778,0.15671641791044777,0.9019189765458422,0.8432835820895522,0.2613981762917933,0.331306990881459,0.7386018237082067,0.668693009118541
CP002831,0.46571824310298143,0.48129163531405966,0.06506364922206506,0.12305516265912306,0.9349363507779349,0.8769448373408769,0.37681159420289856,0.2579710144927536,0.6231884057971014,0.7420289855072464
CP003230,0.4257855426363625,0.37044569856551146,0.10339506172839506,0.11728395061728394,0.8966049382716049,0.8827160493827161,0.11711711711711711,0.28378378378378377,0.8828828828828829,0.7162162162162162
CP003549,0.3883231329353919,0.2906372505138402,0.3334510773578241,0.18933239138113742,0.6665489226421759,0.8106676086188626,0.48716683119447185,0.3627838104639684,0.5128331688055281,0.6372161895360315
CP003881,0.4536134178216294,0.4162573549150058,0.27906976744186046,0.3953488372093023,0.7209302325581395,0.6046511627906976,0.6354166666666666,0.5729166666666666,0.3645833333333333,0.4270833333333333
CP006773,0.6308726121645015,0.7718381229443807,0.22857142857142856,0.17142857142857143,0.7714285714285715,0.8285714285714286,0.07758620689655173,0.1896551724137931,0.9224137931034483,0.8103448275862069
CP007496,0.4504515062448337,0.43993114832738406,0.22821576763485477,0.18672199170124482,0.7717842323651453,0.8132780082987552,0.3761467889908257,0.3211009174311927,0.6238532110091743,0.6788990825688074
CP010427,0.32617991853682204,0.2138155521510145,0.4625445897740785,0.4268727705112961,0.5374554102259215,0.5731272294887039,0.5180180180180181,0.4346846846846847,0.481981981981982,0.5653153153153153
FP929038,0.4418639224982119,0.4403045725332386,0.08391608391608392,0.22937062937062938,0.916083916083916,0.7706293706293706,0.09388335704125178,0.4295874822190612,0.9061166429587483,0.5704125177809388
